copy_id,sku,product_name,tier,copy_format,tone,channel,headline,body_copy,cta,word_count,char_count,ab_variant,click_through_rate_pct,conversion_rate_pct,engagement_score,approved,reviewed_by
COPY-0050,EP-500,ErgoPro 500,Mid,product_title,professional,affiliate,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 500. Featuring lumbar support and 4D armrests, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Buy Today,29,187,A,1.36,2.69,3.29,Yes,James O.
COPY-0051,EP-900,ErgoPro 900,Premium,short_description,aspirational,social,Where comfort meets productivity,"Experience all-day comfort with the ErgoPro 900. Featuring mesh backrest and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 16 to 20 inches.",Get Yours,29,191,B,0.99,1.72,1.74,Yes,Lin C.
COPY-0052,EP-200,ErgoPro 200,Entry,banner_copy,friendly,email,Sit. Support. Succeed.,"Experience all-day comfort with the ErgoPro 200. Featuring memory foam seat and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",See Details,30,191,C,3.15,2.77,7.77,Yes,James O.
COPY-0053,EP-500,ErgoPro 500,Mid,meta_description,casual,email,Engineered for focus,"Experience all-day comfort with the ErgoPro 500. Featuring 4D armrests and seat depth adjustment, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",See Details,30,194,C,0.86,2.34,1.62,No,James O.
COPY-0054,EP-500,ErgoPro 500,Mid,product_title,casual,social,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 500. Featuring 4D armrests and seat depth adjustment, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",See Details,30,194,B,5.1,2.43,11.15,No,James O.
COPY-0055,EP-200,ErgoPro 200,Entry,email_subject,friendly,affiliate,Engineered for focus,"Experience all-day comfort with the ErgoPro 200. Featuring adjustable armrests and 4D armrests, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Buy Today,29,192,C,3.59,3.36,13.23,Yes,James O.
COPY-0056,EP-200,ErgoPro 200,Entry,bullet_feature,aspirational,affiliate,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 200. Featuring mesh backrest and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 17 to 20 inches.",See Details,29,188,A,4.24,2.69,10.59,Yes,Sarah K.
COPY-0057,EP-900,ErgoPro 900,Premium,product_title,professional,paid_search,Your back will thank you,"Experience all-day comfort with the ErgoPro 900. Featuring mesh backrest and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Learn More,29,194,A,1.48,2.02,2.98,Yes,James O.
COPY-0058,EP-500,ErgoPro 500,Mid,banner_copy,casual,organic_search,Engineered for focus,"Experience all-day comfort with the ErgoPro 500. Featuring tilt tension and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",See Details,29,186,A,2.58,3.52,9.24,Yes,Marcus T.
COPY-0059,EP-500,ErgoPro 500,Mid,social_caption,casual,affiliate,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 500. Featuring lumbar support and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Learn More,29,195,B,2.88,4.01,12.64,Yes,Lin C.
COPY-0060,EP-900,ErgoPro 900,Premium,ad_headline,authoritative,organic_search,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 900. Featuring forward tilt and 4D armrests, this chair is engineered for professionals who demand the best. Adjustable from 18 to 21 inches.",Get Yours,29,185,A,5.86,0.99,5.23,Yes,Marcus T.
COPY-0061,EP-500,ErgoPro 500,Mid,product_title,casual,email,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 500. Featuring memory foam seat and headrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 20 inches.",Shop Now,29,186,B,4.22,1.6,7.53,Yes,Sarah K.
COPY-0062,EP-900,ErgoPro 900,Premium,banner_copy,technical,organic_search,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 900. Featuring aluminum base and breathable fabric, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Buy Today,29,192,C,4.96,1.32,5.4,Yes,Marcus T.
COPY-0063,EP-900,ErgoPro 900,Premium,bullet_feature,aspirational,social,"Premium comfort, all day long","Experience all-day comfort with the ErgoPro 900. Featuring mesh backrest and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Shop Now,29,187,C,6.1,3.32,19.26,Yes,Priya N.
COPY-0064,EP-200,ErgoPro 200,Entry,banner_copy,friendly,paid_search,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 200. Featuring aluminum base and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 18 to 21 inches.",Buy Today,29,187,B,3.73,2.21,9.01,Yes,Lin C.
COPY-0065,EP-900,ErgoPro 900,Premium,short_description,aspirational,social,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 900. Featuring adjustable armrests and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Get Yours,29,197,B,2.4,1.37,3.6,Yes,Lin C.
COPY-0066,EP-500,ErgoPro 500,Mid,ad_headline,casual,direct,Where comfort meets productivity,"Experience all-day comfort with the ErgoPro 500. Featuring tilt tension and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Get Yours,29,187,A,6.02,3.43,21.58,Yes,James O.
COPY-0067,EP-900,ErgoPro 900,Premium,meta_description,casual,paid_search,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 900. Featuring adjustable armrests and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Learn More,29,200,A,1.16,3.49,4.02,Yes,Sarah K.
COPY-0068,EP-900,ErgoPro 900,Premium,social_caption,aspirational,paid_search,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 900. Featuring memory foam seat and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Shop Now,30,190,A,4.59,1.35,7.26,Yes,James O.
COPY-0069,EP-200,ErgoPro 200,Entry,banner_copy,aspirational,affiliate,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 200. Featuring memory foam seat and lumbar support, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",Get Yours,30,192,B,4.81,3.69,17.95,Yes,Priya N.
COPY-0070,EP-200,ErgoPro 200,Entry,ad_headline,casual,direct,"Premium comfort, all day long","Experience all-day comfort with the ErgoPro 200. Featuring ergonomic lumbar and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Get Yours,29,197,C,2.05,1.83,4.42,Pending,Lin C.
COPY-0071,EP-500,ErgoPro 500,Mid,bullet_feature,professional,paid_search,Built for the long haul,"Experience all-day comfort with the ErgoPro 500. Featuring memory foam seat and breathable fabric, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",Get Yours,30,195,B,3.28,2.86,9.4,Yes,Lin C.
COPY-0072,EP-900,ErgoPro 900,Premium,banner_copy,authoritative,social,Sit. Support. Succeed.,"Experience all-day comfort with the ErgoPro 900. Featuring tilt tension and tilt tension, this chair is engineered for professionals who demand the best. Adjustable from 18 to 21 inches.",Get Yours,29,186,A,5.36,1.93,10.61,Yes,James O.
COPY-0073,EP-900,ErgoPro 900,Premium,email_subject,aspirational,direct,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 900. Featuring tilt tension and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Get Yours,29,186,A,0.8,0.53,0.51,Yes,Sarah K.
COPY-0074,EP-500,ErgoPro 500,Mid,ad_headline,friendly,direct,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 500. Featuring headrest and tilt tension, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Get Yours,28,182,A,5.24,3.8,16.68,No,Priya N.
COPY-0075,EP-200,ErgoPro 200,Entry,short_description,professional,direct,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 200. Featuring seat depth adjustment and tilt tension, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Get Yours,30,195,A,2.06,3.4,7.66,Yes,James O.
COPY-0076,EP-200,ErgoPro 200,Entry,banner_copy,authoritative,direct,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 200. Featuring aluminum base and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Shop Now,29,188,A,4.01,1.51,7.08,Yes,Priya N.
COPY-0077,EP-500,ErgoPro 500,Mid,social_caption,authoritative,affiliate,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 500. Featuring adjustable armrests and headrest, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Shop Now,28,189,B,5.39,3.84,20.9,Yes,Lin C.
COPY-0078,EP-900,ErgoPro 900,Premium,short_description,technical,social,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 900. Featuring tilt tension and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Get Yours,29,190,C,1.63,2.89,3.94,No,Priya N.
COPY-0079,EP-500,ErgoPro 500,Mid,short_description,technical,email,Your back will thank you,"Experience all-day comfort with the ErgoPro 500. Featuring mesh backrest and tilt tension, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",See Details,29,187,C,3.89,0.58,2.2,Yes,Marcus T.
COPY-0080,EP-500,ErgoPro 500,Mid,ad_headline,authoritative,direct,"Premium comfort, all day long","Experience all-day comfort with the ErgoPro 500. Featuring forward tilt and 4D armrests, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Learn More,29,185,A,1.86,2.68,4.52,No,Priya N.
COPY-0081,EP-900,ErgoPro 900,Premium,bullet_feature,aspirational,direct,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 900. Featuring adjustable armrests and memory foam seat, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Buy Today,30,197,A,2.77,1.1,3.64,Pending,James O.
COPY-0082,EP-900,ErgoPro 900,Premium,short_description,authoritative,organic_search,Your back will thank you,"Experience all-day comfort with the ErgoPro 900. Featuring forward tilt and lumbar support, this chair is engineered for professionals who demand the best. Adjustable from 16 to 20 inches.",Shop Now,29,188,A,4.5,0.98,5.2,Yes,Priya N.
COPY-0083,EP-200,ErgoPro 200,Entry,meta_description,authoritative,direct,"Premium comfort, all day long","Experience all-day comfort with the ErgoPro 200. Featuring aluminum base and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Learn More,29,194,C,3.34,1.63,5.49,Yes,Lin C.
COPY-0084,EP-500,ErgoPro 500,Mid,short_description,friendly,organic_search,Engineered for focus,"Experience all-day comfort with the ErgoPro 500. Featuring aluminum base and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Learn More,29,188,A,2.83,3.75,9.7,Pending,Priya N.
COPY-0085,EP-200,ErgoPro 200,Entry,banner_copy,authoritative,email,Your back will thank you,"Experience all-day comfort with the ErgoPro 200. Featuring memory foam seat and lumbar support, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Shop Now,30,192,B,4.37,2.85,14.28,No,Marcus T.
COPY-0086,EP-500,ErgoPro 500,Mid,bullet_feature,technical,direct,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 500. Featuring tilt tension and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Shop Now,29,186,A,1.28,1.14,1.71,Yes,Priya N.
COPY-0087,EP-500,ErgoPro 500,Mid,social_caption,aspirational,paid_search,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 500. Featuring aluminum base and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Buy Today,29,188,A,4.5,1.71,8.08,No,Sarah K.
COPY-0088,EP-900,ErgoPro 900,Premium,email_subject,technical,direct,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 900. Featuring headrest and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Learn More,28,183,B,4.35,0.72,2.81,Yes,James O.
COPY-0089,EP-500,ErgoPro 500,Mid,meta_description,authoritative,paid_search,Built for the long haul,"Experience all-day comfort with the ErgoPro 500. Featuring forward tilt and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 16 to 20 inches.",Buy Today,29,190,C,4.32,2.55,11.92,Pending,Marcus T.
COPY-0090,EP-500,ErgoPro 500,Mid,short_description,authoritative,organic_search,Built for the long haul,"Experience all-day comfort with the ErgoPro 500. Featuring memory foam seat and breathable fabric, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Buy Today,30,195,A,1.17,2.37,3.02,Yes,James O.
COPY-0091,EP-500,ErgoPro 500,Mid,email_subject,professional,paid_search,Built for the long haul,"Experience all-day comfort with the ErgoPro 500. Featuring forward tilt and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 18 to 22 inches.",Shop Now,29,187,C,2.28,3.28,7.83,Pending,Lin C.
COPY-0092,EP-900,ErgoPro 900,Premium,ad_headline,technical,paid_search,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 900. Featuring breathable fabric and headrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Get Yours,28,187,B,0.94,0.69,0.7,Yes,Marcus T.
COPY-0093,EP-500,ErgoPro 500,Mid,banner_copy,professional,email,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 500. Featuring forward tilt and mesh backrest, this chair is engineered for professionals who demand the best. Adjustable from 16 to 20 inches.",Learn More,29,187,C,2.02,1.91,4.12,Yes,Marcus T.
COPY-0094,EP-200,ErgoPro 200,Entry,short_description,casual,social,The last chair you'll ever buy,"Experience all-day comfort with the ErgoPro 200. Featuring forward tilt and breathable fabric, this chair is engineered for professionals who demand the best. Adjustable from 17 to 22 inches.",Shop Now,29,191,C,2.55,2.09,5.83,No,Priya N.
COPY-0095,EP-500,ErgoPro 500,Mid,product_title,casual,direct,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 500. Featuring ergonomic lumbar and adjustable armrests, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",See Details,29,197,C,5.27,0.56,2.41,No,Lin C.
COPY-0096,EP-900,ErgoPro 900,Premium,product_title,aspirational,social,Built for the long haul,"Experience all-day comfort with the ErgoPro 900. Featuring headrest and seat depth adjustment, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",See Details,29,191,B,5.58,3.26,19.01,Yes,Lin C.
COPY-0097,EP-200,ErgoPro 200,Entry,banner_copy,friendly,affiliate,Designed by ergonomists,"Experience all-day comfort with the ErgoPro 200. Featuring memory foam seat and forward tilt, this chair is engineered for professionals who demand the best. Adjustable from 16 to 22 inches.",Learn More,30,190,B,3.5,1.07,3.62,No,Sarah K.
COPY-0098,EP-200,ErgoPro 200,Entry,banner_copy,authoritative,affiliate,Built for the long haul,"Experience all-day comfort with the ErgoPro 200. Featuring breathable fabric and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 16 to 21 inches.",Shop Now,29,192,A,1.29,1.6,1.75,No,Priya N.
COPY-0099,EP-200,ErgoPro 200,Entry,social_caption,casual,email,Feel the difference from day one,"Experience all-day comfort with the ErgoPro 200. Featuring aluminum base and ergonomic lumbar, this chair is engineered for professionals who demand the best. Adjustable from 18 to 20 inches.",Learn More,29,191,A,2.84,1.81,5.9,Yes,Sarah K.
COPY-0100,EP-500,ErgoPro 500,Mid,email_subject,casual,paid_search,"Work smarter, sit better","Experience all-day comfort with the ErgoPro 500. Featuring seat depth adjustment and aluminum base, this chair is engineered for professionals who demand the best. Adjustable from 17 to 21 inches.",Get Yours,30,196,B,4.18,0.83,2.79,No,James O.
