order_id,order_date,sku,product_name,tier,quantity,unit_price_usd,order_total_usd,warehouse,carrier,tracking_number,ship_date,estimated_delivery_date,actual_delivery_date,on_time,shipping_cost_usd,packaging_type,region,state,delivery_status,return_initiated
ORD-0001,2026-02-20,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z675802576623719,2026-02-23,2026-03-04,2026-03-04,Yes,54.64,pallet,Northeast,CT,out_for_delivery,No
ORD-0002,2026-02-25,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-ORD,UPS Ground,1Z660850007453473,2026-02-28,2026-03-05,2026-03-03,Yes,25.67,double_wall_box,Southeast,VA,delivered,No
ORD-0003,2026-01-06,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-DFW,UPS Ground,1Z654157157096197,2026-01-07,2026-01-11,2026-01-14,No,75.87,pallet,Midwest,WI,delivered,No
ORD-0004,2026-01-16,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ATL,FedEx Freight,1Z234135758287871,2026-01-18,2026-01-21,2026-01-25,No,20.43,pallet,Northeast,MA,delivered,No
ORD-0005,2026-03-04,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ATL,UPS Ground,1Z251420921781795,2026-03-07,2026-03-14,2026-03-17,No,30.64,pallet,West,CA,delivered,No
ORD-0006,2026-01-25,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-JFK,UPS Ground,1Z656972490200955,2026-01-27,2026-02-01,2026-02-03,No,22.29,double_wall_box,Northeast,CT,delivered,No
ORD-0007,2026-03-23,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-ORD,FedEx Freight,1Z757489665684680,2026-03-26,2026-03-29,2026-03-28,Yes,82.44,flat_box,Midwest,IL,exception,No
ORD-0008,2026-02-10,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-ORD,UPS Ground,1Z767130020610363,2026-02-11,2026-02-17,2026-02-16,Yes,36.07,flat_box,Midwest,MN,in_transit,No
ORD-0009,2026-02-13,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-DFW,UPS Ground,1Z679569621643143,2026-02-14,2026-02-24,2026-02-27,No,84.48,pallet,West,AZ,delivered,Yes
ORD-0010,2026-02-06,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-JFK,FedEx Freight,1Z649845184970085,2026-02-09,2026-02-18,2026-02-18,Yes,62.09,flat_box,West,OR,delivered,No
ORD-0011,2026-02-08,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-DFW,UPS Ground,1Z986253505419238,2026-02-10,2026-02-16,2026-02-17,No,66.93,flat_box,Northeast,MA,returned,No
ORD-0012,2026-02-03,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-LAX,UPS Ground,1Z766377467754050,2026-02-04,2026-02-08,2026-02-11,No,83.0,pallet,Midwest,WI,delivered,Yes
ORD-0013,2025-12-15,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ATL,FedEx Freight,1Z846986866423998,2025-12-16,2025-12-23,2025-12-25,No,79.92,double_wall_box,Southwest,CO,exception,No
ORD-0014,2026-01-27,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z749468575810563,2026-01-30,2026-02-04,2026-02-02,Yes,66.34,pallet,Northeast,CT,delivered,No
ORD-0015,2026-03-01,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-JFK,UPS Ground,1Z871589785666644,2026-03-03,2026-03-13,2026-03-12,Yes,36.51,pallet,West,AZ,delivered,No
ORD-0016,2025-12-11,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-DFW,UPS Ground,1Z556964059627835,2025-12-13,2025-12-18,2025-12-18,Yes,70.89,flat_box,Southeast,NC,in_transit,No
ORD-0017,2026-01-23,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-DFW,UPS Ground,1Z327418677253024,2026-01-26,2026-02-04,2026-02-05,No,67.81,flat_box,Midwest,MN,delivered,No
ORD-0018,2026-01-03,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z453424629327891,2026-01-04,2026-01-14,2026-01-18,No,19.53,double_wall_box,Northeast,PA,delivered,Yes
ORD-0019,2026-02-24,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-LAX,UPS Ground,1Z383508752216787,2026-02-25,2026-03-01,2026-03-03,No,69.14,pallet,Southeast,GA,in_transit,No
ORD-0020,2025-12-22,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-ORD,FedEx Freight,1Z297203882158537,2025-12-24,2025-12-30,2025-12-31,No,34.79,flat_box,Midwest,WI,delivered,No
ORD-0021,2026-01-17,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-JFK,UPS Ground,1Z868693811284519,2026-01-19,2026-01-23,2026-01-23,Yes,60.02,flat_box,West,NV,delivered,No
ORD-0022,2026-01-03,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z877638423495098,2026-01-06,2026-01-09,2026-01-13,No,74.94,double_wall_box,Midwest,IL,delivered,No
ORD-0023,2026-01-17,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ORD,FedEx Freight,1Z542454477345850,2026-01-18,2026-01-28,2026-01-29,No,18.61,pallet,Midwest,IL,delivered,Yes
ORD-0024,2026-01-05,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-DFW,UPS Ground,1Z190180854697987,2026-01-07,2026-01-16,2026-01-20,No,20.61,pallet,Southwest,UT,delivered,No
ORD-0025,2026-01-21,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-LAX,UPS Ground,1Z716687782908426,2026-01-22,2026-01-30,2026-01-31,No,64.36,double_wall_box,Southwest,CO,exception,No
ORD-0026,2025-12-15,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-LAX,FedEx Freight,1Z444016694019665,2025-12-18,2025-12-23,2025-12-21,Yes,48.85,pallet,Southwest,UT,delivered,Yes
ORD-0027,2025-12-08,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-DFW,UPS Ground,1Z638590838052758,2025-12-11,2025-12-20,2025-12-24,No,90.34,double_wall_box,Northeast,PA,out_for_delivery,No
ORD-0028,2026-02-01,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z742204488184630,2026-02-03,2026-02-08,2026-02-09,No,85.48,flat_box,Southwest,TX,delivered,Yes
ORD-0029,2026-02-21,EP-900,ErgoPro 900,Premium,2,999.0,1998.0,WH-LAX,FedEx Freight,1Z775982449876064,2026-02-24,2026-03-01,2026-02-27,Yes,48.88,pallet,Southeast,GA,out_for_delivery,Yes
ORD-0030,2025-12-25,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-JFK,UPS Ground,1Z656364366722353,2025-12-28,2026-01-06,2026-01-10,No,88.84,flat_box,West,CA,delivered,No
ORD-0031,2026-03-10,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z418595623517533,2026-03-12,2026-03-18,2026-03-20,No,34.6,double_wall_box,Southeast,VA,delivered,No
ORD-0032,2026-02-21,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-DFW,UPS Ground,1Z828721450082476,2026-02-22,2026-03-04,2026-03-03,Yes,46.46,pallet,West,OR,in_transit,Yes
ORD-0033,2025-12-25,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-ORD,UPS Ground,1Z207271416956395,2025-12-27,2026-01-05,2026-01-08,No,63.98,double_wall_box,Southeast,GA,delivered,Yes
ORD-0034,2025-12-31,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-ATL,UPS Ground,1Z528898095588887,2026-01-03,2026-01-06,2026-01-04,Yes,37.53,pallet,Midwest,WI,delivered,No
ORD-0035,2026-03-05,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-JFK,UPS Ground,1Z200932298046088,2026-03-08,2026-03-18,2026-03-18,Yes,85.6,pallet,Southwest,CO,returned,No
ORD-0036,2026-03-10,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-LAX,UPS Ground,1Z418546686647835,2026-03-12,2026-03-19,2026-03-22,No,45.77,pallet,Midwest,IL,delivered,No
ORD-0037,2025-12-22,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-ATL,FedEx Freight,1Z816807095493768,2025-12-24,2025-12-29,2025-12-31,No,83.68,pallet,Southwest,CO,delivered,No
ORD-0038,2026-01-25,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-DFW,UPS Ground,1Z145928210921728,2026-01-27,2026-02-01,2026-02-04,No,53.97,pallet,Southwest,TX,exception,No
ORD-0039,2026-03-11,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ATL,UPS Ground,1Z944352638509470,2026-03-13,2026-03-17,2026-03-16,Yes,84.85,double_wall_box,West,WA,delivered,No
ORD-0040,2025-12-18,EP-900,ErgoPro 900,Premium,2,999.0,1998.0,WH-JFK,FedEx Freight,1Z964977405881467,2025-12-21,2025-12-26,2025-12-27,No,88.87,pallet,West,AZ,in_transit,No
ORD-0041,2026-01-10,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-LAX,UPS Ground,1Z842577115251544,2026-01-11,2026-01-19,2026-01-18,Yes,20.22,pallet,Southeast,NC,delivered,No
ORD-0042,2026-01-28,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-ORD,FedEx Freight,1Z824680389617426,2026-01-30,2026-02-04,2026-02-03,Yes,84.47,pallet,West,AZ,exception,Yes
ORD-0043,2026-03-15,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-JFK,FedEx Freight,1Z200418048717079,2026-03-17,2026-03-24,2026-03-23,Yes,36.49,flat_box,Northeast,NJ,delivered,No
ORD-0044,2026-02-16,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z779496832887398,2026-02-18,2026-02-27,2026-03-02,No,80.09,flat_box,Southwest,TX,exception,Yes
ORD-0045,2026-01-25,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-ATL,UPS Ground,1Z514596676277148,2026-01-27,2026-02-05,2026-02-03,Yes,76.25,double_wall_box,Southeast,VA,out_for_delivery,No
ORD-0046,2026-02-11,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-LAX,FedEx Freight,1Z693661096980578,2026-02-13,2026-02-19,2026-02-22,No,70.84,double_wall_box,West,AZ,returned,Yes
ORD-0047,2026-02-16,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ATL,UPS Ground,1Z379962467633171,2026-02-17,2026-02-22,2026-02-25,No,87.52,double_wall_box,West,NV,delivered,No
ORD-0048,2026-01-20,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-JFK,FedEx Freight,1Z910995743051599,2026-01-21,2026-01-30,2026-01-31,No,25.28,double_wall_box,West,CA,delivered,No
ORD-0049,2025-12-22,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-JFK,UPS Ground,1Z542432496398380,2025-12-25,2026-01-04,2026-01-03,Yes,78.54,flat_box,West,CA,in_transit,No
ORD-0050,2025-12-20,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-ORD,FedEx Freight,1Z310761819131347,2025-12-23,2026-01-02,2026-01-04,No,80.2,flat_box,Northeast,NJ,out_for_delivery,Yes
ORD-0051,2026-03-24,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-LAX,FedEx Freight,1Z637191556223641,2026-03-25,2026-04-03,2026-04-01,Yes,19.02,pallet,Southeast,TN,delivered,No
ORD-0052,2026-02-08,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ORD,FedEx Freight,1Z252123983912318,2026-02-11,2026-02-20,2026-02-24,No,41.3,flat_box,Northeast,CT,delivered,Yes
ORD-0053,2026-01-02,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-LAX,UPS Ground,1Z989474233027635,2026-01-03,2026-01-09,2026-01-10,No,82.84,double_wall_box,Southwest,UT,delivered,Yes
ORD-0054,2026-03-24,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-DFW,UPS Ground,1Z630851451111313,2026-03-25,2026-03-30,2026-03-29,Yes,74.89,flat_box,Southeast,VA,delivered,No
ORD-0055,2026-03-20,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-ORD,UPS Ground,1Z586150410944567,2026-03-22,2026-03-25,2026-03-23,Yes,66.54,pallet,Northeast,NJ,delivered,No
ORD-0056,2026-01-23,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-LAX,FedEx Freight,1Z121412681039619,2026-01-26,2026-02-05,2026-02-04,Yes,73.0,pallet,Southeast,VA,delivered,No
ORD-0057,2026-03-12,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-ORD,FedEx Freight,1Z281642846247504,2026-03-14,2026-03-22,2026-03-23,No,71.71,pallet,Southeast,VA,delivered,No
ORD-0058,2026-01-10,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-DFW,UPS Ground,1Z839669454572239,2026-01-13,2026-01-21,2026-01-23,No,83.72,pallet,Northeast,PA,out_for_delivery,No
ORD-0059,2025-12-14,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ATL,FedEx Freight,1Z851035531439114,2025-12-15,2025-12-21,2025-12-21,Yes,71.18,pallet,Midwest,MN,out_for_delivery,No
ORD-0060,2025-12-15,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-JFK,UPS Ground,1Z152972223230424,2025-12-17,2025-12-27,2025-12-27,Yes,36.07,flat_box,Southeast,FL,exception,No
ORD-0061,2025-12-13,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-DFW,UPS Ground,1Z235880853970794,2025-12-14,2025-12-22,2025-12-23,No,26.78,double_wall_box,Northeast,NY,delivered,No
ORD-0062,2026-02-20,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-ORD,UPS Ground,1Z592950345652742,2026-02-21,2026-02-25,2026-02-28,No,21.88,pallet,West,AZ,in_transit,Yes
ORD-0063,2026-03-13,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-JFK,FedEx Freight,1Z276803881965114,2026-03-14,2026-03-18,2026-03-22,No,33.81,double_wall_box,West,AZ,delivered,No
ORD-0064,2026-02-12,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-LAX,FedEx Freight,1Z568095470279630,2026-02-13,2026-02-17,2026-02-21,No,33.55,flat_box,Southwest,CO,delivered,No
ORD-0065,2026-02-20,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-JFK,UPS Ground,1Z270695939450158,2026-02-22,2026-03-03,2026-03-03,Yes,66.47,double_wall_box,Southwest,TX,delivered,No
ORD-0066,2025-12-07,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-ATL,UPS Ground,1Z111200287517750,2025-12-10,2025-12-18,2025-12-16,Yes,52.08,double_wall_box,Southeast,VA,returned,Yes
ORD-0067,2026-01-30,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z822228482814507,2026-01-31,2026-02-09,2026-02-13,No,20.86,flat_box,Southeast,GA,delivered,Yes
ORD-0068,2025-12-05,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-ATL,FedEx Freight,1Z787248573815804,2025-12-07,2025-12-15,2025-12-15,Yes,18.61,flat_box,Southeast,TN,delivered,No
ORD-0069,2026-01-02,EP-900,ErgoPro 900,Premium,2,999.0,1998.0,WH-JFK,FedEx Freight,1Z973022559727511,2026-01-04,2026-01-12,2026-01-16,No,78.18,flat_box,Northeast,CT,delivered,Yes
ORD-0070,2026-02-27,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ATL,UPS Ground,1Z280176608315678,2026-02-28,2026-03-07,2026-03-09,No,44.23,flat_box,Southwest,CO,delivered,No
ORD-0071,2026-01-21,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-DFW,FedEx Freight,1Z671392257057503,2026-01-22,2026-01-25,2026-01-29,No,46.72,pallet,Midwest,MN,in_transit,Yes
ORD-0072,2025-12-22,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-ATL,FedEx Freight,1Z939652385612037,2025-12-23,2026-01-02,2026-01-02,Yes,93.69,double_wall_box,Midwest,WI,delivered,No
ORD-0073,2025-12-31,EP-900,ErgoPro 900,Premium,2,999.0,1998.0,WH-ORD,FedEx Freight,1Z378810969611148,2026-01-03,2026-01-08,2026-01-11,No,47.08,flat_box,Midwest,MI,exception,No
ORD-0074,2026-03-08,EP-900,ErgoPro 900,Premium,2,999.0,1998.0,WH-ORD,FedEx Freight,1Z170021248031459,2026-03-11,2026-03-20,2026-03-24,No,49.73,pallet,Southeast,FL,out_for_delivery,No
ORD-0075,2026-02-03,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-LAX,UPS Ground,1Z816591665980776,2026-02-06,2026-02-15,2026-02-19,No,38.3,pallet,Midwest,WI,delivered,No
ORD-0076,2026-01-23,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-DFW,FedEx Freight,1Z232922920520383,2026-01-26,2026-02-05,2026-02-04,Yes,92.54,double_wall_box,Southwest,NM,delivered,No
ORD-0077,2026-03-11,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-DFW,UPS Ground,1Z426050603019462,2026-03-14,2026-03-23,2026-03-21,Yes,27.31,flat_box,Northeast,MA,returned,No
ORD-0078,2026-02-17,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ORD,UPS Ground,1Z763859281436677,2026-02-19,2026-02-22,2026-02-26,No,29.0,pallet,Midwest,MI,delivered,No
ORD-0079,2026-03-11,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-DFW,UPS Ground,1Z641756083287168,2026-03-14,2026-03-22,2026-03-20,Yes,85.02,double_wall_box,Southeast,FL,delivered,No
ORD-0080,2026-03-10,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-ATL,UPS Ground,1Z267737581539297,2026-03-11,2026-03-21,2026-03-25,No,52.64,double_wall_box,Southeast,TN,exception,Yes
ORD-0081,2026-02-11,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ATL,FedEx Freight,1Z412298822748137,2026-02-14,2026-02-17,2026-02-20,No,86.53,double_wall_box,Southwest,UT,in_transit,No
ORD-0082,2026-01-03,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-JFK,FedEx Freight,1Z749482986694553,2026-01-04,2026-01-08,2026-01-07,Yes,91.55,flat_box,Midwest,WI,delivered,No
ORD-0083,2026-01-01,EP-200,ErgoPro 200,Entry,4,349.0,1396.0,WH-JFK,UPS Ground,1Z376167281058529,2026-01-04,2026-01-09,2026-01-07,Yes,39.17,double_wall_box,West,CA,delivered,No
ORD-0084,2026-01-23,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-ATL,UPS Ground,1Z457339251380682,2026-01-24,2026-02-01,2026-02-02,No,31.9,pallet,Northeast,NY,delivered,Yes
ORD-0085,2026-03-08,EP-200,ErgoPro 200,Entry,1,349.0,349.0,WH-JFK,UPS Ground,1Z864046366426273,2026-03-09,2026-03-16,2026-03-20,No,24.9,flat_box,Southwest,CO,delivered,No
ORD-0086,2026-02-05,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-LAX,UPS Ground,1Z390405606223861,2026-02-06,2026-02-14,2026-02-13,Yes,49.79,pallet,West,OR,in_transit,Yes
ORD-0087,2026-01-22,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-JFK,UPS Ground,1Z623343132262218,2026-01-25,2026-02-03,2026-02-01,Yes,38.74,double_wall_box,Northeast,PA,delivered,Yes
ORD-0088,2026-02-20,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-ATL,UPS Ground,1Z984074571631191,2026-02-23,2026-02-27,2026-02-26,Yes,76.75,flat_box,Southwest,TX,delivered,No
ORD-0089,2025-12-16,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-LAX,UPS Ground,1Z376028021978096,2025-12-17,2025-12-25,2025-12-27,No,93.87,double_wall_box,Northeast,PA,delivered,No
ORD-0090,2026-02-17,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-LAX,UPS Ground,1Z642896415295866,2026-02-20,2026-02-25,2026-02-23,Yes,22.63,pallet,Southeast,TN,delivered,No
ORD-0091,2026-03-21,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-ORD,FedEx Freight,1Z238459860452210,2026-03-22,2026-03-26,2026-03-26,Yes,24.91,flat_box,Southwest,CO,returned,No
ORD-0092,2025-12-03,EP-500,ErgoPro 500,Mid,2,649.0,1298.0,WH-JFK,UPS Ground,1Z896861400124880,2025-12-06,2025-12-14,2025-12-17,No,38.12,pallet,Northeast,MA,delivered,No
ORD-0093,2026-01-09,EP-900,ErgoPro 900,Premium,3,999.0,2997.0,WH-ORD,FedEx Freight,1Z102306063537670,2026-01-11,2026-01-14,2026-01-17,No,28.3,double_wall_box,Southwest,UT,delivered,Yes
ORD-0094,2025-12-19,EP-200,ErgoPro 200,Entry,2,349.0,698.0,WH-ATL,UPS Ground,1Z187285122557523,2025-12-21,2025-12-25,2025-12-29,No,85.51,double_wall_box,Northeast,NJ,delivered,No
ORD-0095,2026-02-09,EP-900,ErgoPro 900,Premium,1,999.0,999.0,WH-ORD,FedEx Freight,1Z240471236595463,2026-02-11,2026-02-16,2026-02-20,No,77.13,pallet,Southeast,TN,exception,No
ORD-0096,2025-12-29,EP-500,ErgoPro 500,Mid,1,649.0,649.0,WH-DFW,UPS Ground,1Z803956364465375,2026-01-01,2026-01-09,2026-01-08,Yes,24.93,pallet,West,OR,delivered,No
ORD-0097,2025-12-01,EP-500,ErgoPro 500,Mid,3,649.0,1947.0,WH-LAX,UPS Ground,1Z818817843291615,2025-12-04,2025-12-10,2025-12-08,Yes,33.1,pallet,Midwest,MN,in_transit,No
ORD-0098,2026-01-01,EP-900,ErgoPro 900,Premium,4,999.0,3996.0,WH-DFW,FedEx Freight,1Z173240986262917,2026-01-04,2026-01-09,2026-01-07,Yes,63.29,flat_box,Northeast,PA,delivered,No
ORD-0099,2026-01-07,EP-200,ErgoPro 200,Entry,3,349.0,1047.0,WH-DFW,UPS Ground,1Z857845437341137,2026-01-09,2026-01-19,2026-01-17,Yes,90.22,double_wall_box,West,AZ,delivered,No
ORD-0100,2026-01-26,EP-500,ErgoPro 500,Mid,4,649.0,2596.0,WH-ORD,UPS Ground,1Z912023197786208,2026-01-28,2026-02-05,2026-02-07,No,76.44,flat_box,West,AZ,delivered,No
