promo_id,sku,product_name,tier,channel,base_price_usd,promo_price_usd,discount_pct,promo_type,promo_start_date,promo_end_date,units_sold_promo,units_sold_baseline,revenue_promo_usd,margin_pct,competitor_price_usd,price_index,elasticity_score,promo_roi_pct
PROMO-0001,EP-200,ErgoPro 200,Entry,direct,349.0,304.68,12.7,percent_off,2025-12-08,2025-12-27,291,62,88661.88,51.4,300.89,1.013,-1.54,73.1
PROMO-0002,EP-200,ErgoPro 200,Entry,affiliate,349.0,326.66,6.4,fixed_off,2026-02-15,2026-03-03,74,121,24172.84,30.8,364.68,0.896,-1.89,124.5
PROMO-0003,EP-900,ErgoPro 900,Premium,email,999.0,946.05,5.3,fixed_off,2025-12-25,2026-01-06,284,98,268678.2,40.6,1112.08,0.851,-0.75,156.0
PROMO-0004,EP-900,ErgoPro 900,Premium,affiliate,999.0,727.27,27.2,flash,2026-02-13,2026-02-28,45,95,32727.15,47.4,907.88,0.801,-0.97,84.3
PROMO-0005,EP-900,ErgoPro 900,Premium,affiliate,999.0,859.14,14.0,percent_off,2026-02-03,2026-02-28,285,52,244854.9,36.8,901.14,0.953,-1.69,86.7
PROMO-0006,EP-200,ErgoPro 200,Entry,organic_search,349.0,256.51,26.5,flash,2026-01-22,2026-02-03,36,72,9234.36,29.1,330.01,0.777,-0.65,125.7
PROMO-0007,EP-900,ErgoPro 900,Premium,direct,999.0,844.15,15.5,bundle,2025-12-22,2025-12-31,194,73,163765.1,38.0,1087.03,0.777,-1.89,117.9
PROMO-0008,EP-200,ErgoPro 200,Entry,email,349.0,315.85,9.5,bundle,2025-11-02,2025-11-18,294,21,92859.9,50.9,288.82,1.094,-1.94,76.8
PROMO-0009,EP-500,ErgoPro 500,Mid,social,649.0,584.1,10.0,fixed_off,2025-11-27,2025-12-22,318,87,185743.8,45.7,582.17,1.003,-0.78,93.8
PROMO-0010,EP-200,ErgoPro 200,Entry,organic_search,349.0,318.29,8.8,bogo,2026-02-27,2026-03-16,239,16,76071.31,33.6,327.56,0.972,-0.57,128.2
PROMO-0011,EP-200,ErgoPro 200,Entry,email,349.0,313.75,10.1,percent_off,2026-01-24,2026-02-22,151,117,47376.25,39.8,287.56,1.091,-2.02,34.0
PROMO-0012,EP-900,ErgoPro 900,Premium,paid_search,999.0,846.15,15.3,bogo,2026-02-05,2026-02-28,220,127,186153.0,51.4,833.13,1.016,-1.97,97.9
PROMO-0013,EP-500,ErgoPro 500,Mid,affiliate,649.0,508.82,21.6,bundle,2025-11-21,2025-12-20,96,70,48846.72,35.0,740.1,0.688,-1.53,41.7
PROMO-0014,EP-200,ErgoPro 200,Entry,social,349.0,249.19,28.6,percent_off,2025-11-02,2025-11-19,99,37,24669.81,31.7,302.15,0.825,-1.14,173.3
PROMO-0015,EP-200,ErgoPro 200,Entry,affiliate,349.0,292.11,16.3,flash,2025-12-14,2026-01-12,267,77,77993.37,48.5,291.82,1.001,-2.03,148.8
PROMO-0016,EP-500,ErgoPro 500,Mid,email,649.0,592.54,8.7,bundle,2026-02-17,2026-03-17,394,73,233460.76,51.2,622.07,0.953,-0.62,23.0
PROMO-0017,EP-500,ErgoPro 500,Mid,organic_search,649.0,477.66,26.4,percent_off,2026-01-25,2026-02-04,314,150,149985.24,34.0,639.15,0.747,-0.61,176.7
PROMO-0018,EP-200,ErgoPro 200,Entry,direct,349.0,314.1,10.0,bundle,2026-02-08,2026-03-05,235,105,73813.5,44.5,410.09,0.766,-0.45,4.2
PROMO-0019,EP-200,ErgoPro 200,Entry,organic_search,349.0,314.45,9.9,bogo,2025-12-07,2025-12-17,360,123,113202.0,47.4,292.04,1.077,-2.01,165.6
PROMO-0020,EP-500,ErgoPro 500,Mid,paid_search,649.0,483.5,25.5,fixed_off,2026-01-16,2026-02-03,232,137,112172.0,28.7,696.56,0.694,-1.61,74.7
PROMO-0021,EP-200,ErgoPro 200,Entry,organic_search,349.0,328.41,5.9,percent_off,2025-10-12,2025-11-03,347,72,113958.27,43.5,348.85,0.941,-1.6,16.1
PROMO-0022,EP-200,ErgoPro 200,Entry,affiliate,349.0,275.36,21.1,bundle,2026-02-25,2026-03-16,299,73,82332.64,43.1,391.18,0.704,-1.24,138.5
PROMO-0023,EP-500,ErgoPro 500,Mid,paid_search,649.0,468.58,27.8,percent_off,2025-12-10,2026-01-05,287,92,134482.46,37.3,565.88,0.828,-0.49,137.9
PROMO-0024,EP-200,ErgoPro 200,Entry,organic_search,349.0,261.05,25.2,fixed_off,2026-01-01,2026-01-13,271,145,70744.55,36.6,360.72,0.724,-0.92,40.6
PROMO-0025,EP-900,ErgoPro 900,Premium,paid_search,999.0,935.06,6.4,flash,2026-01-16,2026-01-28,142,109,132778.52,36.5,1134.55,0.824,-1.53,130.2
PROMO-0026,EP-500,ErgoPro 500,Mid,social,649.0,468.58,27.8,flash,2025-10-08,2025-10-21,44,100,20617.52,50.7,665.51,0.704,-1.54,83.2
PROMO-0027,EP-200,ErgoPro 200,Entry,paid_search,349.0,326.66,6.4,fixed_off,2025-12-07,2026-01-02,338,66,110411.08,28.5,345.93,0.944,-1.49,23.7
PROMO-0028,EP-500,ErgoPro 500,Mid,email,649.0,606.82,6.5,bogo,2025-11-28,2025-12-07,105,46,63716.1,46.6,738.95,0.821,-1.05,53.9
PROMO-0029,EP-500,ErgoPro 500,Mid,affiliate,649.0,594.48,8.4,flash,2025-12-10,2025-12-22,110,121,65392.8,47.0,768.59,0.773,-0.85,166.5
PROMO-0030,EP-500,ErgoPro 500,Mid,paid_search,649.0,580.21,10.6,percent_off,2025-12-16,2025-12-27,331,54,192049.51,37.1,709.75,0.817,-0.39,170.3
PROMO-0031,EP-500,ErgoPro 500,Mid,direct,649.0,478.31,26.3,percent_off,2026-01-04,2026-01-31,320,18,153059.2,32.4,601.81,0.795,-0.41,16.7
PROMO-0032,EP-900,ErgoPro 900,Premium,affiliate,999.0,930.07,6.9,bundle,2026-02-07,2026-03-08,207,91,192524.49,32.0,1152.97,0.807,-1.3,40.4
PROMO-0033,EP-200,ErgoPro 200,Entry,social,349.0,271.17,22.3,bogo,2026-02-17,2026-03-08,209,75,56674.53,46.9,379.77,0.714,-0.36,158.1
PROMO-0034,EP-500,ErgoPro 500,Mid,affiliate,649.0,473.77,27.0,fixed_off,2025-10-05,2025-11-01,209,149,99017.93,37.0,734.36,0.645,-1.81,4.0
PROMO-0035,EP-200,ErgoPro 200,Entry,paid_search,349.0,305.72,12.4,percent_off,2026-01-17,2026-02-05,193,76,59003.96,50.8,289.56,1.056,-1.12,160.6
PROMO-0036,EP-200,ErgoPro 200,Entry,social,349.0,302.23,13.4,fixed_off,2026-01-18,2026-02-13,344,133,103967.12,44.9,339.41,0.89,-2.0,52.9
PROMO-0037,EP-200,ErgoPro 200,Entry,organic_search,349.0,295.95,15.2,bogo,2025-12-31,2026-01-10,313,148,92632.35,34.4,318.5,0.929,-1.07,149.6
PROMO-0038,EP-200,ErgoPro 200,Entry,organic_search,349.0,326.66,6.4,percent_off,2025-10-30,2025-11-12,31,119,10126.46,30.1,394.22,0.829,-1.73,111.3
PROMO-0039,EP-200,ErgoPro 200,Entry,affiliate,349.0,290.37,16.8,flash,2025-12-24,2026-01-02,89,88,25842.93,46.8,344.94,0.842,-1.4,60.5
PROMO-0040,EP-500,ErgoPro 500,Mid,direct,649.0,556.84,14.2,percent_off,2026-01-03,2026-01-18,258,21,143664.72,34.3,639.93,0.87,-1.83,122.3
PROMO-0041,EP-200,ErgoPro 200,Entry,organic_search,349.0,324.22,7.1,bogo,2026-01-02,2026-01-26,206,148,66789.32,37.9,384.8,0.843,-0.63,69.5
PROMO-0042,EP-900,ErgoPro 900,Premium,direct,999.0,777.22,22.2,flash,2026-02-21,2026-03-16,273,70,212181.06,39.4,830.75,0.936,-0.66,118.7
PROMO-0043,EP-900,ErgoPro 900,Premium,paid_search,999.0,912.09,8.7,percent_off,2026-01-06,2026-01-19,259,54,236231.31,50.8,866.0,1.053,-1.34,177.8
PROMO-0044,EP-500,ErgoPro 500,Mid,social,649.0,584.1,10.0,flash,2026-02-12,2026-02-21,351,47,205019.1,48.0,586.15,0.997,-1.38,52.0
PROMO-0045,EP-500,ErgoPro 500,Mid,direct,649.0,532.18,18.0,flash,2026-01-22,2026-02-02,36,143,19158.48,46.8,548.41,0.97,-1.05,173.3
PROMO-0046,EP-200,ErgoPro 200,Entry,email,349.0,250.93,28.1,bogo,2025-12-03,2025-12-23,318,35,79795.74,46.9,400.3,0.627,-0.92,98.7
PROMO-0047,EP-500,ErgoPro 500,Mid,social,649.0,610.71,5.9,bundle,2025-11-19,2025-11-27,171,113,104431.41,31.5,677.21,0.902,-0.86,-0.6
PROMO-0048,EP-500,ErgoPro 500,Mid,social,649.0,467.28,28.0,percent_off,2025-12-12,2025-12-27,220,15,102801.6,36.1,725.23,0.644,-0.35,33.3
PROMO-0049,EP-500,ErgoPro 500,Mid,social,649.0,458.19,29.4,fixed_off,2026-02-07,2026-02-20,256,92,117296.64,34.5,627.39,0.73,-0.46,67.4
PROMO-0050,EP-500,ErgoPro 500,Mid,direct,649.0,493.24,24.0,bogo,2025-12-12,2026-01-10,221,24,109006.04,40.4,560.47,0.88,-1.86,151.7
PROMO-0051,EP-900,ErgoPro 900,Premium,email,999.0,942.06,5.7,fixed_off,2025-11-05,2025-11-13,128,61,120583.68,48.1,898.9,1.048,-1.61,146.5
PROMO-0052,EP-900,ErgoPro 900,Premium,social,999.0,850.15,14.9,flash,2025-11-07,2025-11-19,93,17,79063.95,33.8,994.52,0.855,-1.11,55.4
PROMO-0053,EP-500,ErgoPro 500,Mid,paid_search,649.0,495.19,23.7,fixed_off,2026-01-19,2026-02-13,382,33,189162.58,34.8,619.55,0.799,-0.93,118.8
PROMO-0054,EP-500,ErgoPro 500,Mid,paid_search,649.0,510.76,21.3,fixed_off,2026-02-27,2026-03-21,292,15,149141.92,48.8,770.27,0.663,-1.02,-8.4
PROMO-0055,EP-500,ErgoPro 500,Mid,email,649.0,517.9,20.2,fixed_off,2025-12-02,2025-12-23,186,80,96329.4,38.2,616.93,0.839,-1.26,118.7
PROMO-0056,EP-900,ErgoPro 900,Premium,affiliate,999.0,850.15,14.9,flash,2025-11-26,2025-12-20,82,11,69712.3,40.3,1063.88,0.799,-1.0,46.7
PROMO-0057,EP-200,ErgoPro 200,Entry,affiliate,349.0,289.67,17.0,bundle,2025-12-25,2026-01-21,202,80,58513.34,43.4,399.46,0.725,-1.76,88.3
PROMO-0058,EP-200,ErgoPro 200,Entry,social,349.0,253.03,27.5,bundle,2026-02-23,2026-03-22,337,113,85271.11,43.9,374.23,0.676,-1.63,69.5
PROMO-0059,EP-500,ErgoPro 500,Mid,social,649.0,497.13,23.4,bundle,2025-10-16,2025-11-12,328,58,163058.64,36.2,704.39,0.706,-1.19,150.6
PROMO-0060,EP-900,ErgoPro 900,Premium,direct,999.0,730.27,26.9,fixed_off,2025-12-25,2026-01-24,122,85,89092.94,30.3,850.33,0.859,-0.4,160.9
PROMO-0061,EP-900,ErgoPro 900,Premium,email,999.0,927.07,7.2,flash,2025-12-07,2025-12-25,211,67,195611.77,45.9,921.91,1.006,-1.57,151.7
PROMO-0062,EP-500,ErgoPro 500,Mid,social,649.0,608.11,6.3,flash,2026-01-30,2026-02-27,354,28,215270.94,39.3,569.7,1.067,-1.56,0.3
PROMO-0063,EP-200,ErgoPro 200,Entry,email,349.0,319.68,8.4,fixed_off,2025-11-04,2025-11-15,132,97,42197.76,37.8,358.69,0.891,-0.7,82.6
PROMO-0064,EP-900,ErgoPro 900,Premium,paid_search,999.0,702.3,29.7,bogo,2026-01-17,2026-02-11,190,24,133437.0,28.1,908.5,0.773,-0.69,138.2
PROMO-0065,EP-200,ErgoPro 200,Entry,organic_search,349.0,277.8,20.4,flash,2025-11-23,2025-11-30,354,119,98341.2,37.7,413.96,0.671,-1.74,60.9
PROMO-0066,EP-200,ErgoPro 200,Entry,affiliate,349.0,253.72,27.3,bundle,2025-12-28,2026-01-11,301,58,76369.72,28.4,279.78,0.907,-1.54,9.5
PROMO-0067,EP-900,ErgoPro 900,Premium,affiliate,999.0,802.2,19.7,flash,2025-12-17,2026-01-07,115,26,92253.0,47.8,918.36,0.874,-1.03,54.2
PROMO-0068,EP-900,ErgoPro 900,Premium,paid_search,999.0,700.3,29.9,fixed_off,2025-11-18,2025-11-25,205,135,143561.5,36.6,874.5,0.801,-0.79,14.9
PROMO-0069,EP-900,ErgoPro 900,Premium,affiliate,999.0,944.05,5.5,bundle,2026-02-20,2026-03-11,288,53,271886.4,31.0,1083.36,0.871,-0.71,108.4
PROMO-0070,EP-900,ErgoPro 900,Premium,social,999.0,700.3,29.9,bogo,2026-01-31,2026-02-20,368,37,257710.4,43.7,807.09,0.868,-1.88,38.0
PROMO-0071,EP-900,ErgoPro 900,Premium,direct,999.0,911.09,8.8,flash,2025-10-19,2025-11-03,385,12,350769.65,35.2,1063.6,0.857,-0.84,69.6
PROMO-0072,EP-200,ErgoPro 200,Entry,direct,349.0,286.88,17.8,fixed_off,2025-10-25,2025-11-07,346,40,99260.48,34.8,388.75,0.738,-0.7,148.0
PROMO-0073,EP-200,ErgoPro 200,Entry,social,349.0,300.49,13.9,bundle,2026-01-07,2026-02-05,239,85,71817.11,31.8,355.72,0.845,-1.68,-7.6
PROMO-0074,EP-200,ErgoPro 200,Entry,affiliate,349.0,252.33,27.7,percent_off,2025-10-22,2025-10-31,323,136,81502.59,31.6,291.78,0.865,-0.47,112.4
PROMO-0075,EP-500,ErgoPro 500,Mid,email,649.0,456.25,29.7,bundle,2026-01-16,2026-01-24,181,77,82581.25,39.1,545.11,0.837,-0.66,49.4
PROMO-0076,EP-900,ErgoPro 900,Premium,email,999.0,920.08,7.9,bogo,2026-01-17,2026-02-03,53,12,48764.24,48.4,1064.28,0.865,-0.38,41.0
PROMO-0077,EP-900,ErgoPro 900,Premium,social,999.0,926.07,7.3,bogo,2025-11-05,2025-11-20,205,56,189844.35,30.7,959.14,0.966,-0.66,113.3
PROMO-0078,EP-200,ErgoPro 200,Entry,direct,349.0,321.78,7.8,bogo,2026-02-03,2026-02-23,386,25,124207.08,51.6,397.07,0.81,-0.66,118.9
PROMO-0079,EP-200,ErgoPro 200,Entry,social,349.0,278.15,20.3,percent_off,2026-01-27,2026-02-18,213,17,59245.95,48.7,402.04,0.692,-0.5,73.7
PROMO-0080,EP-200,ErgoPro 200,Entry,direct,349.0,308.87,11.5,fixed_off,2025-10-05,2025-11-04,190,13,58685.3,44.9,373.84,0.826,-0.34,117.3
PROMO-0081,EP-500,ErgoPro 500,Mid,affiliate,649.0,532.18,18.0,bogo,2025-10-29,2025-11-16,382,34,203292.76,38.4,707.84,0.752,-1.83,147.0
PROMO-0082,EP-900,ErgoPro 900,Premium,organic_search,999.0,935.06,6.4,bogo,2025-10-26,2025-11-07,359,50,335686.54,40.1,986.73,0.948,-1.52,52.9
PROMO-0083,EP-500,ErgoPro 500,Mid,social,649.0,608.11,6.3,bogo,2025-12-31,2026-01-09,144,150,87567.84,43.4,623.89,0.975,-0.66,75.1
PROMO-0084,EP-500,ErgoPro 500,Mid,organic_search,649.0,543.86,16.2,flash,2025-11-18,2025-12-08,90,137,48947.4,45.9,523.81,1.038,-1.11,146.9
PROMO-0085,EP-900,ErgoPro 900,Premium,email,999.0,708.29,29.1,percent_off,2025-11-05,2025-11-22,356,87,252151.24,49.4,1023.91,0.692,-0.63,150.4
PROMO-0086,EP-500,ErgoPro 500,Mid,organic_search,649.0,525.69,19.0,fixed_off,2025-11-06,2025-11-16,347,131,182414.43,45.2,613.51,0.857,-2.1,57.5
PROMO-0087,EP-900,ErgoPro 900,Premium,social,999.0,708.29,29.1,fixed_off,2026-02-18,2026-03-02,179,150,126783.91,40.5,1079.76,0.656,-0.62,131.1
PROMO-0088,EP-500,ErgoPro 500,Mid,social,649.0,599.03,7.7,fixed_off,2025-11-21,2025-12-04,342,60,204868.26,32.5,760.68,0.787,-0.81,10.5
PROMO-0089,EP-500,ErgoPro 500,Mid,paid_search,649.0,608.76,6.2,bogo,2025-10-02,2025-10-25,354,41,215501.04,46.5,636.15,0.957,-2.09,129.9
PROMO-0090,EP-900,ErgoPro 900,Premium,direct,999.0,715.28,28.4,fixed_off,2026-01-15,2026-02-13,329,133,235327.12,50.2,1111.32,0.644,-0.79,14.4
PROMO-0091,EP-500,ErgoPro 500,Mid,social,649.0,510.11,21.4,bundle,2025-12-28,2026-01-12,340,92,173437.4,40.1,619.06,0.824,-0.35,76.0
PROMO-0092,EP-200,ErgoPro 200,Entry,affiliate,349.0,319.34,8.5,flash,2025-12-11,2026-01-09,338,141,107936.92,35.2,377.13,0.847,-0.96,28.2
PROMO-0093,EP-900,ErgoPro 900,Premium,direct,999.0,770.23,22.9,bundle,2026-01-15,2026-02-07,381,98,293457.63,50.1,852.22,0.904,-0.82,134.5
PROMO-0094,EP-900,ErgoPro 900,Premium,social,999.0,829.17,17.0,percent_off,2025-10-16,2025-11-01,322,116,266992.74,44.2,1156.39,0.717,-1.16,-5.2
PROMO-0095,EP-200,ErgoPro 200,Entry,email,349.0,327.01,6.3,fixed_off,2025-12-18,2026-01-15,58,61,18966.58,34.4,388.86,0.841,-0.59,121.2
PROMO-0096,EP-500,ErgoPro 500,Mid,affiliate,649.0,583.45,10.1,flash,2025-10-09,2025-10-23,307,18,179119.15,36.6,636.69,0.916,-1.4,87.1
PROMO-0097,EP-900,ErgoPro 900,Premium,organic_search,999.0,877.12,12.2,percent_off,2025-12-11,2026-01-04,370,22,324534.4,50.2,954.07,0.919,-0.76,28.6
PROMO-0098,EP-500,ErgoPro 500,Mid,paid_search,649.0,482.21,25.7,bundle,2026-01-10,2026-02-09,354,104,170702.34,46.1,661.1,0.729,-1.29,176.9
PROMO-0099,EP-200,ErgoPro 200,Entry,email,349.0,315.15,9.7,fixed_off,2025-12-20,2026-01-13,118,141,37187.7,30.9,284.87,1.106,-1.81,150.7
PROMO-0100,EP-200,ErgoPro 200,Entry,direct,349.0,302.58,13.3,bundle,2026-02-16,2026-03-15,393,49,118913.94,29.0,408.84,0.74,-1.22,98.8
